Name,Age,Gender,Tourist Destination Visited,Month of Travel,Season of Travel,Duration of Stay (days),Number of People Traveled With,Visited during Festival/Event?,Main Reason for Visiting
Vivaan Reddy,44,Male,Goa,,Summer,2,8,No,Festival
Pari Waghmare,19,Female,Vrindavan,August,Winter,2,9,Yes,
Abhilasha Waghmare,34,Male,Kashmir,June,Monsoon,7,5,Yes,Festival
Saanvi Patil,19,Female,Konkan,August,Winter,5,,Yes,Festival
Rohit Thakur,57,Male,,April,Festival,6,5,Yes,Holiday
Myra Mishra,31,,Konkan,May,Festival,9,9,No,Business
Krishna Ghosh,59,Male,Manali,November,Festival,,3,Yes,Festival
Krishna Verma,47,,Kashmir,July,Monsoon,15,,Yes,Festival
Arjun Sharma,30,Male,Goa,October,Monsoon,14,,No,Festival
Reyansh More,25,Female,Vrindavan,December,Festival,10,3,,Pilgrimage
Reyansh Ghosh,50,Female,Kashmir,February,Winter,2,6,Yes,Holiday
Saanvi More,54,Male,Manali,September,Winter,15,8,Yes,Holiday
Sara Pawar,30,Male,Manali,April,Monsoon,6,1,No,Festival
Anika Yadav,,Male,Konkan,October,Monsoon,9,10,Yes,Pilgrimage
Manisha Reddy,31,Female,Konkan,June,Summer,8,9,Yes,Festival
Kiran Deshmukh,25,Male,Goa,September,Monsoon,11,4,No,Pilgrimage
Pooja Thakur,33,Male,Kashmir,,Winter,11,3,No,Pilgrimage
Diya Singh,57,Female,Shimla,July,Winter,,1,No,Holiday
Abhilasha Thakur,23,Male,Goa,February,Monsoon,12,5,Yes,Business
Ayaan Joshi,27,Female,Goa,January,Festival,13,8,No,Pilgrimage
Ishaan Thakur,22,Male,Manali,July,Summer,11,9,No,Holiday
Arjun Patil,26,Female,Konkan,September,Monsoon,5,7,No,Pilgrimage
Ishaan Chitkote,,Female,Goa,July,Summer,15,7,No,Festival
Saanvi Waghmare,48,Male,Kashmir,November,Monsoon,13,5,Yes,Pilgrimage
Abhilasha Kulkarni,,Male,Jaipur,June,Winter,2,7,Yes,Holiday
Myra Kulkarni,34,Female,Manali,July,,2,1,,Holiday
Kiran Reddy,28,Male,Goa,July,Summer,6,6,Yes,Business
Pooja Ghosh,,Male,,April,Festival,2,10,Yes,Business
Aditya Verma,36,Female,Goa,June,Winter,4,,Yes,Festival
Ayaan Patil,59,Male,Konkan,April,Winter,15,1,Yes,Holiday
Vihaan Pawar,46,Female,Manali,November,Monsoon,9,8,No,Festival
Rohit Yadav,21,Male,Kashmir,August,Summer,11,,No,
Saanvi Naidu,48,Male,Manali,January,Festival,7,8,Yes,Pilgrimage
Rohit Ghosh,58,Female,Kashmir,April,Monsoon,6,7,No,Holiday
Krishna Thakur,34,Male,Kashmir,October,Winter,5,3,Yes,Business
Ananya Pandey,36,Female,Jaipur,January,Monsoon,7,1,No,Festival
Diya Ghosh,39,Male,Kashmir,July,Monsoon,15,5,No,Festival
Rahul Patil,38,Female,Jaipur,November,Summer,13,,Yes,Business
Aarav Pandey,25,Male,Kashmir,April,Winter,9,7,No,Business
Rahul Ghosh,18,Female,Kashmir,December,Summer,10,5,Yes,Business
Pooja Ghosh,38,Male,Kashmir,April,Festival,13,1,No,Holiday
Ishaan Singh,48,Male,Manali,July,Festival,6,5,No,Pilgrimage
,52,Male,Kashmir,January,Winter,12,10,No,Holiday
Anika Pandey,20,Male,Konkan,May,Monsoon,13,4,Yes,Festival
Sunita Mishra,39,,Shimla,May,Summer,9,,No,Festival
Rohit Verma,18,Male,Konkan,August,Summer,3,9,Yes,Pilgrimage
Sneha Jadhav,41,Male,Kashmir,January,Summer,8,,No,Pilgrimage
Myra Thakur,46,Female,Goa,June,Summer,6,10,Yes,Holiday
Ayaan Verma,53,Male,Manali,August,Monsoon,7,6,No,Holiday
Sneha Chitkote,51,Female,,October,Winter,12,1,Yes,Business
Aditya Thakur,43,Male,,,Summer,15,9,No,Festival
Ishaan Kulkarni,33,Female,Goa,February,Summer,12,2,Yes,Business
Aadhya Ghosh,26,Male,Shimla,December,Summer,7,3,No,Festival
Aditya Pawar,40,Female,Shimla,November,Festival,14,10,Yes,Pilgrimage
Vihaan Sharma,26,Male,Jaipur,July,Festival,6,6,No,Pilgrimage
Pooja Sharma,31,Female,Goa,January,Festival,11,8,No,Festival
Vihaan Waghmare,50,Male,Kashmir,March,Festival,9,10,No,Business
Kiran Singh,26,Male,Manali,December,Monsoon,7,4,Yes,Holiday
Pooja Patil,41,Male,Goa,July,Summer,15,,Yes,Festival
,21,Male,Manali,November,Festival,7,3,,Festival
Sai Kulkarni,53,Male,Shimla,December,Winter,8,7,No,Holiday
Vivaan Naidu,50,Male,Goa,,Winter,14,7,Yes,Festival
Ayaan Kulkarni,30,Male,Kashmir,April,Summer,15,,Yes,Pilgrimage
Pooja Yadav,27,Male,Konkan,August,Festival,,9,No,Festival
Sunita Joshi,36,Male,Shimla,May,Winter,8,8,Yes,Festival
,47,Male,Jaipur,October,Monsoon,5,6,No,Business
,57,Male,Goa,May,Summer,13,2,Yes,Business
Ira Yadav,55,Female,Goa,,Monsoon,9,6,No,Festival
Kiran Ghosh,34,Male,Vrindavan,September,Winter,4,1,Yes,Business
Sneha Chitkote,28,Female,Shimla,February,Winter,6,3,No,Pilgrimage
Sai Chitkote,39,Male,Konkan,December,,14,6,No,Festival
,50,Male,Jaipur,March,Winter,11,2,No,Festival
Rahul Mishra,30,,Konkan,July,Winter,13,5,Yes,Festival
Aarav Iyer,,Male,Goa,March,Monsoon,12,5,No,Festival
Arjun Joshi,51,Male,Shimla,January,Winter,12,4,Yes,Festival
Arjun Naidu,,Male,Vrindavan,June,Winter,5,5,Yes,Festival
Aarav Singh,23,,Manali,May,Monsoon,14,2,No,Business
Diya Chitkote,50,Male,Kashmir,January,Summer,2,7,No,Holiday
Aadhya Patil,27,Male,Jaipur,August,Winter,11,10,Yes,Festival
Krishna Thakur,52,Male,Goa,February,Summer,14,10,No,Pilgrimage
Sara Yadav,46,Male,Goa,September,Festival,8,10,No,Business
Anika Verma,44,Female,Jaipur,May,Summer,10,3,Yes,Business
Prisha Joshi,24,Male,Goa,December,Monsoon,5,10,No,Pilgrimage
Sunita Thakur,33,Female,Manali,February,Monsoon,11,3,Yes,Pilgrimage
Rohit Deshmukh,31,,Kashmir,July,Winter,3,5,Yes,Business
Sunita Chitkote,54,Male,Manali,February,Summer,8,5,Yes,Holiday
Sunita Kulkarni,50,Female,Goa,November,Summer,8,4,No,Business
Myra Pawar,40,Female,Goa,February,Summer,8,2,Yes,Holiday
Ishaan Pawar,18,Female,Jaipur,July,,10,7,Yes,Festival
,27,Male,,September,Festival,8,10,No,Pilgrimage
